id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11359913,Gramercy Townhouse- Perfect Work from Home,53356372,Brenda,Manhattan,Gramercy,40.73386,-73.98201,Entire home/apt,1430,10,0,,,1,0
11360523,1 BR Loft in Brooklyn Heights,33931962,Nando,Brooklyn,Brooklyn Heights,40.69975,-73.99432,Entire home/apt,160,30,0,,,1,365
11371974,1 bedroom Apt in Prospect Heights,32974295,Jacqueline,Brooklyn,Prospect Heights,40.67814,-73.97047,Entire home/apt,70,30,0,,,1,0
11373565,Private room in Williamsburg,59609062,Evan,Brooklyn,Williamsburg,40.70886,-73.946,Private room,60,30,0,,,1,0
11389037,Private room in Greenpoint Apt.,51425591,Matthew,Brooklyn,Greenpoint,40.72347,-73.94199,Private room,70,30,0,,,1,0
11389773,Chambre au coeur de Manhattan,59746634,JoÃ«l,Manhattan,Midtown,40.74771,-73.98875,Private room,65,30,0,,,1,0
11411361,Sunny private bedroom,57287881,Ivy,Brooklyn,Williamsburg,40.71273,-73.94716,Private room,45,5,0,,,1,0
11434339,"Nice, Sunny and by Yankee Stadium",60077790,Veronica,Manhattan,Harlem,40.82044,-73.93605,Private room,100,30,0,,,1,0
11451816,beautiful and spacious one bedroom on quiet block,17876187,Sierra,Brooklyn,Bushwick,40.69000615,-73.91911013,Entire home/apt,120,7,0,,,1,151
11456047,ã€å®Œå…¨å€‹å®¤ã€‘1BRã€å°‚ç”¨ãƒã‚¹ãƒˆã‚¤ãƒ¬ã€ã‚­ãƒƒãƒãƒ³ä»˜ãï¼ˆQueensï¼‰,60239797,Hazuki,Queens,Elmhurst,40.7375,-73.8733,Private room,100,30,0,,,1,0
11456821,"Luxury Midtown West Studio w/pool, wifi",9419684,Churchill,Manhattan,Hell's Kitchen,40.76113,-73.99895,Entire home/apt,282,30,0,,,44,364
11458973,"Luxury Midtown West 2BR w/pool, wifi",9419684,Churchill,Manhattan,Hell's Kitchen,40.76113,-73.99895,Entire home/apt,492,30,0,,,44,364
11462440,Sweet and Cosy apartment,14076492,Shira,Manhattan,Upper West Side,40.79679,-73.96795,Private room,89,30,0,,,2,0
11480835,Brooklyn Bushwhick Private Room,7990995,Juno,Brooklyn,Bushwick,40.70171,-73.91945,Private room,35,30,0,,,1,0
11491696,Studio apartment close to subway,60502606,Brooke,Manhattan,Upper West Side,40.78838,-73.97892,Entire home/apt,250,30,0,,,1,0
11495792,Huge 1 bdrm apt; sublet March-Aug,60535622,Adela,Brooklyn,Prospect-Lefferts Gardens,40.66378,-73.95155,Entire home/apt,2100,120,0,,,1,0
11514862,Large (clean) private bedroom in Crown Heights,54772069,Dominic,Brooklyn,Crown Heights,40.67634,-73.94133,Private room,75,30,0,,,1,0
11526771,Superb Steps away from Union Square,15152746,Joseph,Manhattan,East Village,40.73237,-73.98589,Private room,139,30,0,,,1,0
11528951,Spacious duplex in townhouse.,1141610,Maria,Brooklyn,Crown Heights,40.67377,-73.92823,Entire home/apt,150,10,0,,,2,340
11529467,"Comfy,  Convenient and a Balcony!",60802539,Hannah,Brooklyn,Crown Heights,40.67597,-73.95864,Entire home/apt,133,30,0,,,1,0
11531154,Beautiful Apartment in Chelsea,27906470,Robin,Manhattan,Chelsea,40.74161,-74.00162,Private room,70,30,0,,,1,0
11532518,1 Bedroom Apt East Village/USQ,24319977,Charles,Manhattan,East Village,40.73023,-73.98655,Entire home/apt,200,30,0,,,1,0
11543818,Private room for 2. Best area!!B,39528519,Max,Manhattan,East Village,40.72173,-73.98389,Private room,65,7,0,,,1,156
11546462,Midtown East Master Bedroom,44357881,Lauren,Manhattan,Midtown,40.74512,-73.98176,Private room,75,30,0,,,1,0
