id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
9772177,UES 1 bedroom in 2 bedroom apt. near Subway/Park,50384225,Michael,Manhattan,East Harlem,40.78709,-73.95206,Private room,193,31,0,0.7487066474,1,358,
9773384,Captivating rooftop apartment,3816296,Luke,Manhattan,Chinatown,40.71828,-73.9957,Entire home/apt,180,30,0,0.7487066474,1,0,
9775146,"âœ´Comfy 2BR, Work Collection /(Long-term Flex)",50396427,Anu -Nicole,Brooklyn,Prospect Heights,40.67565,-73.96431,Entire home/apt,129,30,16,0.51,1,338,
9775237,Spacious high-rise 1BD with an INCREDIBLE view!,38263259,Michelle,Manhattan,Harlem,40.82086,-73.95497,Entire home/apt,144,30,7,0.1,1,0,
9775296,"Sunny, quiet Crown Heights apt",24894370,Alex,Brooklyn,Crown Heights,40.67014,-73.95289,Entire home/apt,98,30,5,0.07,1,0,
9777387,East village lovely bedroom!,502563,Cloe,Manhattan,East Village,40.73064,-73.98517,Private room,130,30,135,2.05,2,0,
9777669,Charming 1 BD in Washington Heights,20068971,Jacqueline,Manhattan,Washington Heights,40.85147,-73.93771,Entire home/apt,125,30,0,0.7487066474,1,0,
9777883,cozy harlem room,4098796,Lux,Manhattan,Harlem,40.8188,-73.95283,Private room,62,30,0,0.7487066474,1,0,
9778407,Beautiful Room...15 min to NYC,40571321,Dana,Brooklyn,Bedford-Stuyvesant,40.69335,-73.93107,Private room,90,30,0,0.7487066474,1,0,
9778579,LES sweet bedroom (Female only),50411330,Sophia,Manhattan,Lower East Side,40.71504,-73.98879,Private room,45,30,2,0.03,1,0,
9778583,Private room in HUGE Apartment!,34351124,Rebekah,Brooklyn,Bedford-Stuyvesant,40.68699,-73.91905,Private room,75,30,1,0.01,1,0,
9778978,upper manhattan rivervie new studio,32525636,Piner,Manhattan,Harlem,40.82109,-73.95723,Entire home/apt,56,30,1,0.01,1,0,
9779136,Cozy Room in heart of Crown Heights,3758471,Stephanie,Brooklyn,Crown Heights,40.67377,-73.95887,Private room,50,30,1,0.01,2,0,
9785516,Beautiful Luxury Manhattan 3bed/2bath!,4094857,Anat,Manhattan,Upper West Side,40.78974,-73.96858,Entire home/apt,258,30,25,0.39,1,0,
9785847,Heart of Williamsburg 1 BD,42424450,Tyler,Brooklyn,Williamsburg,40.7201,-73.95722,Private room,75,30,1,0.01,1,0,
9786021,"Beautiful & spacious room, Brooklyn",50442604,Beatriz,Brooklyn,Flatbush,40.63778,-73.95607,Private room,60,30,1,0.01,1,0,
9786543,Private bdrm in bedstuy brownstone,49293531,Aliza,Brooklyn,Bedford-Stuyvesant,40.68512,-73.92869,Private room,60,15,23,0.35,4,310,
9786769,Large Upper West Side apartment,50445531,Wendy,Manhattan,Upper West Side,40.79827,-73.97321,Private room,124,30,0,0.7487066474,1,0,
9787590,NA,50448556,Miguel,Manhattan,Harlem,40.80551,-73.95069,Entire home/apt,300,30,0,0.7487066474,5,0,
9788114,Beautiful Whole Private Apt with Huge Backyard.,785524,Eric,Bronx,Concourse,40.81965,-73.92911,Entire home/apt,115,1,344,4.98,2,288,
9788141,Bedroom in UWS,50448556,Miguel,Manhattan,Harlem,40.8037,-73.95037,Private room,100,30,1,0.01,5,0,
9789350,Cozy 1 Bedroom in Upper East Side,50455731,Timea,Manhattan,Upper East Side,40.77314,-73.94934,Entire home/apt,70,30,26,0.41,1,0,
9790098,Bedroom in UWS 118th st,50448556,Miguel,Manhattan,Harlem,40.80497,-73.95045,Private room,200,30,0,0.7487066474,5,0,
9790355,Heart of Manhattan's  West Village,50459536,Ryan,Manhattan,West Village,40.73637,-74.00229,Private room,300,30,0,0.7487066474,1,0,
9790995,Cozy room around Union Square,39615319,Yiling,Manhattan,East Village,40.73248,-73.98898,Private room,120,30,3,0.04,1,0,
9791355,Beautiful studio in Gramercy Park,50463621,Josh,Manhattan,Kips Bay,40.7412,-73.98171,Entire home/apt,115,30,0,0.7487066474,1,0,
9791362,Cozy Room in Heart of Williamsburg,8265805,Amanda,Brooklyn,Williamsburg,40.71535,-73.96599,Private room,50,30,0,0.7487066474,1,0,
9792286,Private room in East Village Apt.,48593918,Aaron,Manhattan,Lower East Side,40.72044,-73.98419,Private room,90,2,234,3.5,1,4,
9792315,Sunny Astoria 2BR with Porch!,5814274,Sam,Queens,Astoria,40.7711,-73.92843,Entire home/apt,225,30,0,0.7487066474,1,0,
9792323,= Brand New 2F Studio!! UNITED NATIONS =,1475015,Mike,Manhattan,Midtown,40.75161,-73.97109,Entire home/apt,92,30,7,0.11,4,308,
9792720,Semi-Private Room Next to TimeSqare,20337316,Matt,Manhattan,Hell's Kitchen,40.76593,-73.99409,Shared room,65,30,1,0.01,1,0,
9793665,Modern Apt in Thriving W'Burg,11358093,Hugh,Brooklyn,Williamsburg,40.71153,-73.95924,Entire home/apt,330,30,0,0.7487066474,1,0,
9794077,Bright Private Greenpoint Room,23698012,Amelia,Brooklyn,Greenpoint,40.72276,-73.94857,Private room,75,30,0,0.7487066474,1,0,
9794364,Large Room in Manhattan Duplex,8546088,Jonathan,Manhattan,Upper West Side,40.79954,-73.96269,Private room,100,30,42,0.6,1,0,
9794402,Cute Apartment - heart of Astoria,17490821,Pierre,Queens,Astoria,40.76064,-73.92155,Entire home/apt,100,30,1,0.01,1,0,
9794825,Cozy Room in Hell's kitchen,18998261,Flavien,Manhattan,Hell's Kitchen,40.762,-73.99415,Private room,110,30,0,0.7487066474,1,0,
9795958,Cute 1 Bedroom in Hells Kitchen,4205782,Jesse,Manhattan,Hell's Kitchen,40.76301,-73.9927,Entire home/apt,150,30,0,0.7487066474,1,0,
9796155,"Sublet Room in Bushwick, Brooklyn",34202667,Sarah,Brooklyn,Bushwick,40.69084,-73.92075,Private room,40,30,0,0.7487066474,1,0,
9796737,Private Room in lower east side NYC,41003664,Conor,Manhattan,Lower East Side,40.7133,-73.98645,Private room,70,30,2,0.03,1,0,
9797293,East Harlem Holiday Stay,5474579,Seun,Manhattan,East Harlem,40.79617,-73.93452,Entire home/apt,85,30,0,0.7487066474,1,0,
9798242,Sunlit Private Rm Btwn Times Sq/Central Park/HK,22247089,Min,Manhattan,Hell's Kitchen,40.7648,-73.98543,Private room,119,30,69,1.1,1,270,
9800247,East Village Bedroom in Duplex!,36585734,Pj,Manhattan,East Village,40.72955,-73.98058,Private room,77,30,0,0.7487066474,1,0,
9802654,Lovely apartment in West Village,4050348,Bayly,Manhattan,Greenwich Village,40.72935,-74.00064,Private room,200,30,0,0.7487066474,1,0,
9804243,Beautiful large bedroom in Brooklyn,2330750,Thomas,Brooklyn,Bedford-Stuyvesant,40.69019,-73.94914,Private room,45,30,4,0.07,1,0,
9804299,Private room in Williamsburg,3285138,Raffi,Brooklyn,Williamsburg,40.71992,-73.96024,Private room,70,30,1,0.01,1,0,
9804516,High rise apartment with Central Park views!,49347242,Josephine,Manhattan,Hell's Kitchen,40.76855,-73.98647,Entire home/apt,175,30,3,0.05,1,0,
9804814,Cozy Midtown East apt,10487850,Nael,Manhattan,Midtown,40.75287,-73.96708,Entire home/apt,230,1,0,0.7487066474,1,0,
9804849,1 private BR in prime location,12996782,Carol,Manhattan,Midtown,40.76408,-73.98024,Private room,113,30,0,0.7487066474,1,0,
9805128,Spacious Cosy Room with Queen Bed,50520029,Jeremy,Brooklyn,Bushwick,40.69318,-73.90654,Private room,49,30,2,0.03,1,0,
9805274,Rare Penthouse Master Bedroom/Bath Nolita,2329581,Michael,Manhattan,Nolita,40.72204,-73.99484,Private room,100,30,4,0.06,2,0,
